building_address,latitude,longitude
"2231 Ontario Rd NW, Washington, DC",38.920087,-77.03946780000003
"1630 Park Rd NW, Washington, DC",38.93195479999999,-77.0375402
"2400 Pennsylvania Ave NW, Washington, DC",38.9027965,-77.05181400000002
"925 25th St NW, Washington, DC",38.901480600000006,-77.0529428
"829 Quincy St NW, Washington, DC",38.937865,-77.024855
"250 K St NE, Washington, DC",38.90319960000001,-77.00235500000001
"1616 16th St NW, Washington, DC",38.9117532,-77.0369759
"2255 Wisconsin Ave NW, Washington, DC",38.9204569,-77.0711517
"301 G St SW, Washington, DC",38.881675200000004,-77.0164135
"3055 16th St NW, Washington, DC",38.9280693,-77.0360718
"3401 38th St NW, Washington, DC",38.9359003,-77.073759
"2637 16th St NW, Washington, DC",38.924354799999996,-77.0357179
"3150 16th St NW, Washington, DC",38.930186299999995,-77.03706129999998
"3132 16th St NW, Washington, DC",38.9296847,-77.0368814
"3339 Mount Pleasant St NW, Washington, DC",38.933694300000006,-77.0396707
"1521 Benning Rd NE, Washington, DC",38.8998277,-76.98254820000001
"400 Taylor St NE, Washington, DC",38.9410437,-77.00196439999998
"100 Michigan Ave NE, Washington, DC",38.92886,-77.0057059
"4607 Connecticut Ave NW, Washington, DC",38.9504375,-77.06660490000002
"1375 Fairmont St NW, Washington, DC",38.925051,-77.03178670000001
"4601 Connecticut Ave NW, Washington, DC",38.9499166,-77.06629509999998
"3728 New Hampshire Ave NW, Washington, DC",38.9374415,-77.0238363
"3230 7th St NE, Washington, DC",38.930164700000006,-76.99647639999998
"3620 16th St NW, Washington, DC",38.935871999999996,-77.0369714
"1414 V St NW, Washington, DC",38.917775899999995,-77.033013
"3726 Connecticut Ave NW, Washington, DC",38.9388026,-77.06089859999999
"444 16th St NE, Washington, DC",38.8964249,-76.98244270000001
"1841 Columbia Rd NW, Washington, DC",38.9215171,-77.04400150000001
"1460 Irving St NW, Washington, DC",38.9283489,-77.03499219999998
"1430 W St NW, Washington, DC",38.9189196,-77.0331929
"1600 16th St NW, Washington, DC",38.9113203,-77.0369714
"2359 Ontario Rd NW, Washington, DC",38.921620000000004,-77.03976999999998
"1421 Massachusetts Ave NW, Washington, DC",38.9063951,-77.0332219
"3220 Connecticut Ave NW, Washington, DC",38.9333045,-77.05766059999998
"3701 Massachusetts Ave NW, Washington, DC",38.92945539999999,-77.07340009999999
"2929 Connecticut Ave NW, Washington, DC",38.928859100000004,-77.054378
"1346 Park Rd NW, Washington, DC",38.930413,-77.031318
"1940 Biltmore St NW, Washington, DC",38.922082,-77.04632699999998
"1911 R St NW, Washington, DC",38.91284279999999,-77.0441002
"3435 Holmead Pl NW, Washington, DC",38.93312299999999,-77.030548
"3002 Rodman St NW, Washington, DC",38.937962299999995,-77.06038149999998
"1349 Kenyon St NW, Washington, DC",38.9299597,-77.03148359999999
"3625 16th Street Northwest, Washington, DC",38.937237700000004,-77.03610979999998
"1444 Rock Creek Ford Road Northwest, Washington, DC",38.9636102,-77.035442
"1328 14th St NW, Washington, DC",38.908206400000005,-77.0323945
"1630 R St, Washington, DC",38.912424200000004,-77.03751109999999
"919 F Street Northwest, Washington, DC",38.8976665,-77.02493849999998
"2425 17th St NW, Washington, DC",38.9223906,-77.03872559999998
"1350 Florida Ave NW, Washington, DC",38.919990000000006,-77.031452
"301 M Street Southwest, Washington, DC",38.876777000000004,-77.0156937
"2511 Q St NW, Washington, DC",38.9109644,-77.05379289999998
"5429 Connecticut Ave NW, Washington, DC",38.9625215,-77.07373740000001
"875 N Street Northwest, Washington, DC",38.907378,-77.0237252
"3333 Wisconsin Ave NW, Washington, DC",38.93425269999999,-77.07210730000001
"2715 M Street Northwest, Washington, DC",38.905429,-77.05667120000001
"5182 Eastern Ave NE, Washington, DC",38.9546729,-76.9887201
"1221 Massachusetts Ave NW, Washington, DC",38.90506,-77.02905
"1845 Summit Pl NW, Washington, DC",38.9268225,-77.0428187
"501 H St NE, Washington, DC",38.90000029999999,-76.9991818
"1829 Summit Pl NW, Washington, DC",38.9267167,-77.042234
"2517 K St NW, Washington, DC",38.902892200000004,-77.0541564
"700 Constitution Ave NE, Washington, DC",38.8919308,-76.9945031
"2480 16th St NW, Washington, DC",38.922945399999996,-77.03676180000001
"1250 9th St NW, Washington, DC",38.9069218,-77.0242281
"1301 U St NW, Washington, DC",38.9172618,-77.03058399999998
"450 Massachusetts Ave NW, Washington, DC",38.9003854,-77.01825799999999
"2562 Naylor Rd SE, Washington, DC",38.864813899999994,-76.9692793
"3614 Connecticut Ave NW, Washington, DC",38.93723689999999,-77.0598191
"3825 Georgia Ave NW, Washington, DC",38.93839500000001,-77.02429599999998
"4600 Wisconsin Ave NW, Washington, DC",38.949980700000005,-77.080827
"1350 Corcoran Street Northwest, Washington, DC",38.9120828,-77.0315973
"1629 Columbia Rd NW, Washington, DC",38.9259774,-77.03774200000001
"6817 Georgia Ave NW, Washington, DC",38.97295020000001,-77.0265354
"2745 Ordway Street Northwest, Washington, DC",38.9354004,-77.0568383
"1400 Irving St NW, Washington, DC",38.92856949999999,-77.03357249999998
"2700 16th Street Northwest, Washington, DC",38.9249987,-77.03676899999998
"4545 Connecticut Ave NW, Washington, DC",38.949269799999996,-77.0657042
"1414 Upshur Street Northwest, Washington, DC",38.94148320000001,-77.03337290000002
"811 Quincy Street Northwest, Washington, DC",38.9378263,-77.0237251
"360 H St NE, Washington, DC",38.9004183,-77.0009652
"1371 Peabody St NW, Washington, DC",38.9633865,-77.03274309999998
"5210 3rd St NE, Washington, DC",38.9528614,-77.0019715
"1331 4th St SE, Washington, DC",38.8743105,-77.00093659999999
"4212 E Capitol St NE, Washington, DC",38.89080209999999,-76.9416202
"2323 Sherman Ave NW, Washington, DC",38.9213374,-77.02473599999998
"1515 Ogden St NW, Washington, DC",38.93612050000001,-77.03490219999998
"2724 Porter Street Northwest, Washington, DC",38.9356501,-77.05640140000001
"465 M Street Southwest, Washington, DC",38.87665429999999,-77.0195968
"1815 17th St NW, Washington, DC",38.91467189999999,-77.0382308
"1375 Kenyon St NW, Washington, DC",38.929926200000004,-77.0317907
"1000 1st Street Southeast, Washington, DC",38.877943200000004,-77.0055402
"3850 Tunlaw Rd NW, Washington, DC",38.9250446,-77.07699740000001
"1326 Florida Avenue Northeast, Washington, DC",38.901706,-76.98710009999998
"1712 17th St NW, Washington, DC",38.9130892,-77.0388069
"2070 Belmont Rd NW, Washington, DC",38.9193901,-77.0485019
"2000 Connecticut Ave NW, Washington, DC",38.9168854,-77.047067
"1230 13th St NW, Washington, DC",38.906598200000005,-77.02995419999998
"2110 19th St NW, Washington, DC",38.9180383,-77.0446178
"3300 16th St NW, Washington, DC",38.9323179,-77.0368031
"1112 M St NW, Washington, DC",38.905474600000005,-77.02779989999998
"2745 29th St NW, Washington, DC",38.925120299999996,-77.0569411
"1515 O St NW, Washington, DC",38.9088505,-77.03499219999998
"1355 17th St NW, Washington, DC",38.9085075,-77.0380059
"1743 P St NW, Washington, DC",38.9099494,-77.0404798
"1255 New Hampshire Ave NW, Washington, DC",38.906474700000004,-77.04593969999998
"1919 14th St NW, Washington, DC",38.9158806,-77.0317803
"1825 & 1833 New Hampshire Ave NW, Washington, DC",38.91525,-77.03779999999998
"1640 16th St NW, Washington, DC",38.9123645,-77.0370281
"1325 15th St NW, Washington, DC",38.908595,-77.03433100000001
"2420 14th Street Nw, Washington, DC",38.921139600000004,-77.03210729999998
"2020 F St NW, Washington, DC",38.8969821,-77.04578719999998
"4501 Connecticut Ave NW, Washington, DC",38.948592299999994,-77.06521579999998
"3903 Davis Pl NW, Washington, DC",38.923841499999995,-77.07771679999998
"1160 1st St NE, Washington, DC",38.9051134,-77.00608129999998
"770 5th St NW, Washington, DC",38.8988895,-77.01918460000002
"55 M St NE, Washington, DC",38.9051617,-77.00687559999999
"4100 Massachusetts Ave NW, Washington, DC",38.9335326,-77.0818536
"2950 Van Ness St NW, Washington, DC",38.9429396,-77.06090379999998
"318 I St NE, Washington, DC",38.9015374,-77.0009133
"2000 F St NW, Washington, DC",38.897162200000004,-77.0452475
"3200 16th St NW, Washington, DC",38.93096920000001,-77.0369963
"1660 Lanier Pl NW, Washington, DC",38.926016600000004,-77.03922039999998
"1445 Ogden Street NW, Washington, DC",38.9349585,-77.03412589999998
"3429 Yuma St NW, Washington, DC",38.9465005,-77.0662718
"1301 15th St NW, Washington, DC",38.907540000000004,-77.03422499999998
"7019 Georgia Ave NW, Washington, DC",38.9755055,-77.0264455
"2500 Wisconsin Avenue Northwest, Washington, DC",38.9228441,-77.07394790000001
"425 8th St NW, Washington, DC",38.8956619,-77.0227191
"1429 Parkwood Place Northwest, Washington, DC",38.9360419,-77.03375539999998
"1446 Parkwood Place Northwest, Washington, DC",38.9358559,-77.03451740000001
"1209 6th Street Northeast, Washington, DC",38.906024200000004,-76.99824819999998
"1248 Irving Street Northwest, Washington, DC",38.928419399999996,-77.02947059999998
"1604 19th Street Northwest, Washington, DC",38.9113743,-77.04362449999998
"1901 13th Street Northwest, Washington, DC",38.91575539999999,-77.02932690000002
"2136 O Street Northwest, Washington, DC",38.9083575,-77.0480023
"526 5th Street Southeast, Washington, DC",38.8819364,-76.99922140000001
"5430 North Capitol Street Northwest, Washington, DC",38.9557613,-77.0093727
