apt_rent,apt_footage,rooms,distance_wh,distance_cap,building_units_available,adj_open,adj_large,adj_private,adj_great,adj_new,adj_beautiful,adj_high,adj_natural,adj_historic,adj_newly,adj_short,adj_ready,adj_furnished,adj_convenient,adj_windows
2195,684,2,3847,2111,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3750,1012,3,3847,2111,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950,396,1,1626,3190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2485,659,2,1626,3190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3950,1090,3,1626,3190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1950,396,1,1626,3190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2485,659,2,1626,3190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3950,1090,3,1626,3190,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2150,693,2,2518,3555,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3545,1245,3,2518,3555,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2872,1714,4,2518,3555,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2150,693,2,2518,3555,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3545,1245,3,2518,3555,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2872,1714,4,2518,3555,98,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1861,489,1,1632,2508,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2210,681,2,1632,2508,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3813,1168,3,1632,2508,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1796,461,1,1818,3384,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2657,717,2,1818,3384,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3900,1075,3,1818,3384,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1679,540,1,1111,1387,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,755,2,1111,1387,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2980,1019,3,1111,1387,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1875,544,1,1467,1028,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2195,856,2,1467,1028,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
3560,1229,3,1467,1028,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1852,479,1,5282,7541,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151,790,2,5282,7541,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2861,1277,3,5282,7541,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703,444,1,2298,1797,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,621,2,2298,1797,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3509,894,3,2298,1797,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1785,524,1,1706,1734,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895,794,2,1706,1734,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3115,1158,3,1706,1734,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1408,299,1,1681,3675,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,560,2,1681,3675,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,1681,3675,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,480,1,4585,6008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1519,750,2,4585,6008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,4585,6008,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1500,350,1,1733,3902,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1850,540,2,1733,3902,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2320,1106,3,1733,3902,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1535,348,1,1495,3426,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,706,2,1495,3426,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,1106,3,1495,3426,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1311,480,1,3486,5653,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3090,950,2,3486,5653,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4885,1381,3,3486,5653,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1710,397,1,2828,1551,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1860,637,2,2828,1551,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2630,873,3,2828,1551,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1516,311,1,1018,3410,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,626,2,1018,3410,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
