building_address,latitude,longitude
"4201 Massachusetts Ave NW, Washington, DC",38.935681,-77.08185519999999
"1717 E Capitol St SE, Washington, DC",38.8894333,-76.9798776
"2101 Champlain St NW, Washington, DC",38.9185203,-77.039985
"1600 Pennsylvania Ave SE, Washington, DC",38.8791765,-76.98181269999999
"2401 Pennsylvania Ave NW, Washington, DC",38.9032952,-77.05174269999999
"2201 N St NW, Washington, DC",38.9074997,-77.04938539999999
"460 L St NW, Washington, DC",38.9035923,-77.0179474
"701 2nd St NE, Washington, DC",38.8991263,-77.003305
"215 C St SE, Washington, DC",38.8857981,-77.0027813
"7035 Blair Rd NW, Washington, DC",38.97568589999999,-77.0187981
"1750 P St NW, Washington, DC",38.9094281,-77.0408396
"2651 16th Street Northwest, Washington, DC",38.9245866,-77.0359593
"1840 Columbia Road Northwest, Washington, DC",38.9216296,-77.0432264
"2900 Adams Mill Road Northwest, Washington, DC",38.9269035,-77.0435383
"501 12th Street Northeast, Washington, DC",38.8963632,-76.9898901
"750 3rd Street Nw, Washington, DC",38.8990379,-77.0155587
"3828 Georgia Ave NW, Washington, DC",38.9381939,-77.02480539999999
"151 Q St NE, Washington, DC",38.91080609999999,-77.0037105
"1921 8th St NW, Washington, DC",38.9162901,-77.0226667
"230 Rhode Island Ave NE, Washington, DC",38.919534,-77.0023314
"3930 Georgia Ave NW, Washington, DC",38.9395287,-77.02527590000001
"3945 Connecticut Ave NW, Washington, DC",38.940523,-77.060923
"1620 Fuller St NW, Washington, DC",38.9245204,-77.0373312
"5661 3rd St NE, Washington, DC",38.9591353,-77.0027071
"850 Quincy St NW, Washington, DC",38.9374651,-77.0249221
"1483 Newton St NW, Washington, DC",38.932914,-77.0347448
"2700 Q St NW, Washington, DC",38.91023380000001,-77.0558617
"1920 14th St NW, Washington, DC",38.9163243,-77.0323174
"1601 Argonne Pl NW, Washington, DC",38.926678,-77.03868059999999
"2324 41st St NW, Washington, DC",38.9213258,-77.0810442
"2828 Connecticut Ave NW, Washington, DC",38.9274548,-77.0541527
"1908 Florida Ave NW, Washington, DC",38.9149838,-77.04455709999999
"3040 Idaho Ave NW, Washington, DC",38.9301207,-77.0786162
"3000 Connecticut Ave NW, Washington, DC",38.9298333,-77.0560416
"300 Massachusetts Ave NW, Washington, DC",38.8994798,-77.01591859999999
"2420 16th St NW, Washington, DC",38.9215914,-77.0369714
"1803 Biltmore St NW, Washington, DC",38.922478,-77.04330399999999
"1221 24th St NW, Washington, DC",38.9065382,-77.051096
"2100 Connecticut Ave NW, Washington, DC",38.9179108,-77.0477662
"1301 Massachusetts Ave NW, Washington, DC",38.905194,-77.029842
"3737 Legation St NW, Washington, DC",38.9623427,-77.0726806
"5437 Connecticut Ave NW, Washington, DC",38.9628951,-77.0740296
"1464 Rhode Island Ave NW, Washington, DC",38.9078372,-77.0340442
"2401 Calvert St NW, Washington, DC",38.9238776,-77.05322170000001
"3501 13th St NW, Washington, DC",38.932695,-77.0294144
"1915 Kalorama Rd NW, Washington, DC",38.919604,-77.0456973
"2147 O St NW, Washington, DC",38.9088432,-77.0484858
"2231 Ontario Rd NW, Washington, DC",38.920087,-77.03946780000001
"1630 Park Rd NW, Washington, DC",38.9319548,-77.0375402
"2400 Pennsylvania Ave NW, Washington, DC",38.9027965,-77.05181400000001
"925 25th St NW, Washington, DC",38.9014806,-77.0529428
"829 Quincy St NW, Washington, DC",38.937865,-77.024855
"250 K St NE, Washington, DC",38.9031996,-77.002355
"1616 16th St NW, Washington, DC",38.9117532,-77.0369759
"2255 Wisconsin Ave NW, Washington, DC",38.9204569,-77.0711517
"301 G St SW, Washington, DC",38.8816752,-77.0164135
"3055 16th St NW, Washington, DC",38.9280693,-77.0360718
"3401 38th St NW, Washington, DC",38.9359003,-77.073759
"2637 16th St NW, Washington, DC",38.9243548,-77.0357179
"3150 16th St NW, Washington, DC",38.9301863,-77.03706129999999
"3132 16th St NW, Washington, DC",38.9296847,-77.0368814
"3339 Mount Pleasant St NW, Washington, DC",38.93369430000001,-77.0396707
"1521 Benning Rd NE, Washington, DC",38.8998277,-76.9825482
"400 Taylor St NE, Washington, DC",38.9410437,-77.00196439999999
"100 Michigan Ave NE, Washington, DC",38.92886,-77.0057059
"4607 Connecticut Ave NW, Washington, DC",38.9504375,-77.0666049
"1375 Fairmont St NW, Washington, DC",38.925051,-77.0317867
"4601 Connecticut Ave NW, Washington, DC",38.9499166,-77.06629509999999
"3728 New Hampshire Ave NW, Washington, DC",38.9374415,-77.0238363
"3230 7th St NE, Washington, DC",38.9301647,-76.99647639999999
"3620 16th St NW, Washington, DC",38.935872,-77.0369714
"1414 V St NW, Washington, DC",38.9177759,-77.033013
"3726 Connecticut Ave NW, Washington, DC",38.9388026,-77.0608986
"444 16th St NE, Washington, DC",38.8964249,-76.9824427
"1841 Columbia Rd NW, Washington, DC",38.9215171,-77.0440015
"1460 Irving St NW, Washington, DC",38.9283489,-77.03499219999999
"1430 W St NW, Washington, DC",38.9189196,-77.0331929
"1600 16th St NW, Washington, DC",38.9113203,-77.0369714
"2359 Ontario Rd NW, Washington, DC",38.92162,-77.03976999999999
"1421 Massachusetts Ave NW, Washington, DC",38.9063951,-77.0332219
"3220 Connecticut Ave NW, Washington, DC",38.9333045,-77.05766059999999
"3701 Massachusetts Ave NW, Washington, DC",38.92945539999999,-77.0734001
"2929 Connecticut Ave NW, Washington, DC",38.9288591,-77.054378
"1346 Park Rd NW, Washington, DC",38.930413,-77.031318
"1940 Biltmore St NW, Washington, DC",38.922082,-77.04632699999999
"1911 R St NW, Washington, DC",38.9128428,-77.0441002
"3435 Holmead Pl NW, Washington, DC",38.93312299999999,-77.030548
"3002 Rodman St NW, Washington, DC",38.9379623,-77.06038149999999
"1349 Kenyon St NW, Washington, DC",38.9299597,-77.0314836
"3625 16th Street Northwest, Washington, DC",38.9372377,-77.03610979999999
"1444 Rock Creek Ford Road Northwest, Washington, DC",38.9636102,-77.035442
"1328 14th St NW, Washington, DC",38.9082064,-77.0323945
"1630 R St, Washington, DC",38.9124242,-77.0375111
"919 F Street Northwest, Washington, DC",38.8976665,-77.02493849999999
"2425 17th St NW, Washington, DC",38.9223906,-77.03872559999999
"1350 Florida Ave NW, Washington, DC",38.91999,-77.031452
"301 M Street Southwest, Washington, DC",38.876777,-77.0156937
"2511 Q St NW, Washington, DC",38.9109644,-77.05379289999999
"5429 Connecticut Ave NW, Washington, DC",38.9625215,-77.0737374
"875 N Street Northwest, Washington, DC",38.907378,-77.0237252
"3333 Wisconsin Ave NW, Washington, DC",38.93425269999999,-77.07210730000001
"2715 M Street Northwest, Washington, DC",38.905429,-77.0566712
"5182 Eastern Ave NE, Washington, DC",38.9546729,-76.9887201
"1221 Massachusetts Ave NW, Washington, DC",38.90506,-77.02905
"1845 Summit Pl NW, Washington, DC",38.9268225,-77.0428187
"501 H St NE, Washington, DC",38.90000029999999,-76.9991818
"1829 Summit Pl NW, Washington, DC",38.9267167,-77.042234
"2517 K St NW, Washington, DC",38.9028922,-77.0541564
"700 Constitution Ave NE, Washington, DC",38.8919308,-76.9945031
"2480 16th St NW, Washington, DC",38.9229454,-77.0367618
"1250 9th St NW, Washington, DC",38.9069218,-77.0242281
"1301 U St NW, Washington, DC",38.9172618,-77.03058399999999
"450 Massachusetts Ave NW, Washington, DC",38.9003854,-77.018258
"2562 Naylor Rd SE, Washington, DC",38.8648139,-76.9692793
"3614 Connecticut Ave NW, Washington, DC",38.93723689999999,-77.0598191
"3825 Georgia Ave NW, Washington, DC",38.93839500000001,-77.02429599999999
"4600 Wisconsin Ave NW, Washington, DC",38.9499807,-77.080827
"1350 Corcoran Street Northwest, Washington, DC",38.9120828,-77.0315973
"1629 Columbia Rd NW, Washington, DC",38.9259774,-77.037742
"6817 Georgia Ave NW, Washington, DC",38.9729502,-77.0265354
"2745 Ordway Street Northwest, Washington, DC",38.9354004,-77.0568383
"1400 Irving St NW, Washington, DC",38.92856949999999,-77.03357249999999
"2700 16th Street Northwest, Washington, DC",38.9249987,-77.03676899999999
"4545 Connecticut Ave NW, Washington, DC",38.9492698,-77.0657042
"1414 Upshur Street Northwest, Washington, DC",38.9414832,-77.03337290000002
"811 Quincy Street Northwest, Washington, DC",38.9378263,-77.0237251
"360 H St NE, Washington, DC",38.9004183,-77.0009652
"1371 Peabody St NW, Washington, DC",38.9633865,-77.03274309999999
"5210 3rd St NE, Washington, DC",38.9528614,-77.0019715
"1331 4th St SE, Washington, DC",38.8743105,-77.0009366
"4212 E Capitol St NE, Washington, DC",38.89080209999999,-76.9416202
"2323 Sherman Ave NW, Washington, DC",38.9213374,-77.02473599999999
"1515 Ogden St NW, Washington, DC",38.93612050000001,-77.03490219999999
"2724 Porter Street Northwest, Washington, DC",38.9356501,-77.0564014
"465 M Street Southwest, Washington, DC",38.8766543,-77.0195968
"1815 17th St NW, Washington, DC",38.91467189999999,-77.0382308
"1375 Kenyon St NW, Washington, DC",38.9299262,-77.0317907
"1000 1st Street Southeast, Washington, DC",38.8779432,-77.0055402
"3850 Tunlaw Rd NW, Washington, DC",38.9250446,-77.0769974
"1326 Florida Avenue Northeast, Washington, DC",38.901706,-76.98710009999999
"1712 17th St NW, Washington, DC",38.9130892,-77.0388069
"2070 Belmont Rd NW, Washington, DC",38.9193901,-77.0485019
"2000 Connecticut Ave NW, Washington, DC",38.9168854,-77.047067
"1230 13th St NW, Washington, DC",38.9065982,-77.02995419999999
"2110 19th St NW, Washington, DC",38.9180383,-77.0446178
"3300 16th St NW, Washington, DC",38.9323179,-77.0368031
"1112 M St NW, Washington, DC",38.9054746,-77.02779989999999
"2745 29th St NW, Washington, DC",38.9251203,-77.0569411
"1515 O St NW, Washington, DC",38.9088505,-77.03499219999999
"1355 17th St NW, Washington, DC",38.9085075,-77.0380059
"1743 P St NW, Washington, DC",38.9099494,-77.0404798
"1255 New Hampshire Ave NW, Washington, DC",38.9064747,-77.04593969999999
"1919 14th St NW, Washington, DC",38.9158806,-77.0317803
"1825 & 1833 New Hampshire Ave NW, Washington, DC",38.91525,-77.03779999999999
"1640 16th St NW, Washington, DC",38.9123645,-77.0370281
"1325 15th St NW, Washington, DC",38.908595,-77.034331
"2420 14th Street Nw, Washington, DC",38.9211396,-77.03210729999999
"2020 F St NW, Washington, DC",38.8969821,-77.04578719999999
"4501 Connecticut Ave NW, Washington, DC",38.9485923,-77.06521579999999
"3903 Davis Pl NW, Washington, DC",38.9238415,-77.07771679999999
"1160 1st St NE, Washington, DC",38.9051134,-77.00608129999999
"770 5th St NW, Washington, DC",38.8988895,-77.01918460000002
"55 M St NE, Washington, DC",38.9051617,-77.0068756
"4100 Massachusetts Ave NW, Washington, DC",38.9335326,-77.0818536
"2950 Van Ness St NW, Washington, DC",38.9429396,-77.06090379999999
"318 I St NE, Washington, DC",38.9015374,-77.0009133
"2000 F St NW, Washington, DC",38.8971622,-77.0452475
"3200 16th St NW, Washington, DC",38.9309692,-77.0369963
"1660 Lanier Pl NW, Washington, DC",38.9260166,-77.03922039999999
"1445 Ogden Street NW, Washington, DC",38.9349585,-77.03412589999999
"3429 Yuma St NW, Washington, DC",38.9465005,-77.0662718
"1301 15th St NW, Washington, DC",38.90754,-77.03422499999999
"7019 Georgia Ave NW, Washington, DC",38.9755055,-77.0264455
"2500 Wisconsin Avenue Northwest, Washington, DC",38.9228441,-77.0739479
"425 8th St NW, Washington, DC",38.8956619,-77.0227191
"1429 Parkwood Place Northwest, Washington, DC",38.9360419,-77.03375539999999
"1446 Parkwood Place Northwest, Washington, DC",38.9358559,-77.0345174
"1209 6th Street Northeast, Washington, DC",38.9060242,-76.99824819999999
"1248 Irving Street Northwest, Washington, DC",38.9284194,-77.0294706
"1604 19th Street Northwest, Washington, DC",38.9113743,-77.04362449999999
"1901 13th Street Northwest, Washington, DC",38.91575539999999,-77.0293269
"2136 O Street Northwest, Washington, DC",38.9083575,-77.0480023
"526 5th Street Southeast, Washington, DC",38.8819364,-76.9992214
"5430 North Capitol Street Northwest, Washington, DC",38.9557613,-77.0093727
"1704 Q St NW, Washington, DC",38.910891,-77.038967
"1765 R Street Northwest, Washington, DC",38.9128605,-77.0413045
"503 Independence Avenue Southeast, Washington, DC",38.8874793,-76.999219
"1800 19th Street Northwest, Washington, DC",38.9143463,-77.0436562
"712 G Street Southeast, Washington, DC",38.8815013,-76.9954697
"1105 East Capitol Street Southeast, Washington, DC",38.8889994,-76.9912064
"114 F Street Southeast, Washington, DC",38.88216020000001,-77.0053124
"2630 Monroe Street Northeast, Washington, DC",38.9332971,-76.9688292
"144 11th Street Southeast, Washington, DC",38.8879788,-76.9912513
"144 11th St SE, Washington, DC",38.8879788,-76.9912513
"602 Chaplin Street Southeast, Washington, DC",38.881557,-76.94024
"2022 1st Street Northwest, Washington, DC",38.9176355,-77.01244319999999
"448 N Street Northwest, Washington, DC",38.9071111,-77.0177518
"86 Q Street Southwest, Washington, DC",38.870545,-77.011821
"3126 16th Street Northwest, Washington, DC",38.9294645,-77.0368502
"4607 Hunt Place Northeast, Washington, DC",38.9004873,-76.9359642
"223 Bates Street Northwest, Washington, DC",38.9105344,-77.0144004
"901 North Carolina Avenue Southeast, Washington, DC",38.8881777,-76.9935461
"3220 Walbridge Place Northwest, Washington, DC",38.93222189999999,-77.04561860000001
"1631 Montello Avenue Northeast, Washington, DC",38.9078027,-76.986307
"2000 16th Street Northwest, Washington, DC",38.9172483,-77.0368814
"1230 4th Street Northwest, Washington, DC",38.9067842,-77.0164191
"1118 3rd Street NE, Washington, DC",38.904248,-77.002321
"1433 A Street Southeast, Washington, DC",38.8884392,-76.9843957
"616 E Street Northwest, Washington, DC",38.89587,-77.02127759999999
"1440 N Street Northwest, Washington, DC",38.9070531,-77.0332829
"529 16th Street Northeast, Washington, DC",38.8971232,-76.98206019999999
"811 Barnaby Street Southeast, Washington, DC",38.829554,-76.9941648
"801 Jefferson Street NW, Washington, DC",38.95549,-77.024185
"2022 N Street Northwest, Washington, DC",38.9070895,-77.0463607
"48 Madison Street Northwest, Washington, DC",38.95856029999999,-77.0110823
"1125 12th Street Northwest, Washington, DC",38.9049743,-77.02785349999999
"1425 11th Street Northwest, Washington, DC",38.9092029,-77.0267154
"215 Rock Creek Church Road Northwest, Washington, DC",38.9417432,-77.0141416
"401 13th Street Northeast, Washington, DC",38.895129,-76.9880227
"249 14th Place Northeast, Washington, DC",38.8931986,-76.984344
"1239 Vermont Avenue Northwest, Washington, DC",38.9070003,-77.0306739
"123 13th Street Southeast, Washington, DC",38.8882195,-76.9884951
"4127 Minnesota Avenue Northeast, Washington, DC",38.8986516,-76.9461779
"1622 H St SE, Washington, DC",38.8804627,-76.98129519999999
"1012 6th Street Northeast, Washington, DC",38.9030455,-76.9986981
"831 L Street Northeast, Washington, DC",38.9037259,-76.9940455
"765 Delaware Avenue Southwest, Washington, DC",38.8803347,-77.014421
"1427 E Street Northeast, Washington, DC",38.895865,-76.984391
"1440 Fairmont Street Northwest, Washington, DC",38.9242393,-77.03349659999999
"1810 M Street Northeast, Washington, DC",38.905818,-76.9775938
"1913 Rosedale St NE, Washington, DC",38.8965839,-76.97657
"1215 Harvard Street Northwest, Washington, DC",38.9269821,-77.02881839999999
"4626 B Street Southeast, Washington, DC",38.8880338,-76.93481129999999
"821 Oglethorpe Street Northeast, Washington, DC",38.9580054,-76.99417609999999
"3221 8th Street Southeast, Washington, DC",38.8434093,-76.9954229
"2001 12th Street Northwest, Washington, DC",38.917556,-77.027891
"6523 1st Street Northwest, Washington, DC",38.9698157,-77.01135219999999
"5200 11th Street Northeast, Washington, DC",38.9546665,-76.9917687
"1515 Neal Street Northeast, Washington, DC",38.9019339,-76.98312
"233 Longfellow Street Northwest, Washington, DC",38.9578583,-77.01543509999999
"3670 38th Street Northwest, Washington, DC",38.9386911,-77.0761655
"1910 Kalorama Road Northwest, Washington, DC",38.9191023,-77.0455174
"1111 11th Street Northwest, Washington, DC",38.9050298,-77.0267154
"2020 12th Street Northwest, Washington, DC",38.9178211,-77.0284248
"350 G Street Southwest, Washington, DC",38.8810532,-77.0165935
